Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3963621,14.98744939,17.13384391,17.51090238,15.54831388,13.17784074,13.05275405,13.24048975,14.89204701,15.59707631,16.29912405,17.6555078,17.47947006,16.1823934,13.04386349,11.54590164,12.36584075,10.07654347,10.74933443,10.79867894,12.46789216,12.71312488,12.39582656,11.35815643,11.37205393,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,28.7321308,30.32172735,29.26670858,27.22758684,27.89564812,28.53685761,28.450196,28.19541018,28.08870618,26.67992075,28.45324881,27.52014915,28.4130252,27.7913514,27.8629339,26.92972657,26.0558184,25.91063763,26.91919146,26.86703818,27.48950156,26.73735493,27.04994494,28.00250985,28.08282986,29.2557419,30.71174872,26.67693828,27.42491683,28.46266196,28.17820296,27.70937645,26.98384738,24.8449907,24.47739302,24.54980901,26.84273952,26.43078236,25.45526223,25.98528014,26.64012497
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,10.46680769,10.051874,13.38724696,14.05811237,14.0316991,15.58900799,
Africa Western and Central,AFW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,39.22512912,35.42791202,34.44202035,31.67651027,34.10645887,31.31089413,30.70231046,29.65908462,31.37727901,32.5836876,32.5047989,32.23859214,29.71225611,30.69078631,32.73817312,32.28124214,31.5728299,27.21186136,28.14752736,32.04265413,28.06271856,25.28386859,27.32663655,29.15674897,29.56599365,28.03698415,26.87226573,27.96351133,24.46546886,27.20028184,30.19138883,29.59479229,28.64385705,27.22857201,22.91736063,21.42285923,24.28570487,26.54568011,27.42605129,27.14231483,29.23978989,29.93523743
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28517579,67.82067594,60.75774139,55.1572893,72.71737231,72.12295494,64.88381154,56.07579654,53.11699779,54.62993328,60.40199346,58.10933117,61.88353785,60.2548204,44.05637413,52.36843758,56.02651389,56.91821896,53.36285218,46.20332557,41.93309219,42.64356787,42.16795377,47.93154185,49.76092074,45.67824234,47.52258808,44.87639955
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37384069,18.10976567,15.34683823,16.53674306,19.39568914,21.73577378,23.1063696,24.05560851,24.66556227,25.08160659,25.30802592,25.34033192,25.16101033,24.41377839,24.93746193,24.48447822,22.91855334,23.06131685,21.50884574,21.763681,21.14196535,20.35840836,21.27941019,20.61965488,20.1145302,20.74698491,21.43325105
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84375504,14.92401761,15.06728909,15.49493665,15.78035401,16.03578288,16.16729519,15.47353148,15.43276711,14.76648871,13.12564606,11.90885311,11.07157967,10.61824715,10.1535313,9.981268716,10.14077941,10.39551767,11.07633372,11.69981763,12.66015827,12.36570615,11.92156863
Arab World,ARB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,57.57894609,59.48784177,57.75245618,53.33288552,59.28042884,64.87900174,62.03926314,53.28757095,45.95348215,43.4416941,40.45548855,34.61062173,35.51157887,36.18465926,38.05236938,56.23791194,39.20178849,42.01966731,39.42464501,38.99510458,40.9338686,42.81264212,43.83927401,39.10137304,43.04389724,49.09904321,46.36843318,46.2847523,46.82450607,48.9454232,52.71244693,54.10242225,52.80505622,55.29422158,46.52074368,48.98759657,53.71886381,54.39472549,52.29824927,49.70216578,40.33655941,37.89592396,40.30182249,44.93124577,42.82162717,36.86246621,42.26842613,48.29805986
United Arab Emirates,ARE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,73.99550701,71.81472265,67.98170619,68.05879988,71.35555238,72.66360633,68.36330707,63.15205198,61.40417868,62.81071431,61.25214684,52.15437335,54.68110115,53.01423765,55.07692921,58.90235057,46.77830149,55.29802322,51.47992165,46.26037509,45.54517392,46.36700237,45.4284115,40.02353246,42.02066257,48.51701163,49.67634129,47.54574758,49.12101292,51.67834808,55.6434763,57.90311172,54.84022859,58.01797844,52.044956,52.53086183,58.03559961,56.56806174,54.20381498,51.98971367,43.35424493,41.02857173,42.52803476,46.91895759,44.52451604,42.17404307,47.48348079,
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,48.41447642,49.60581466,47.38341438,47.03606529,47.3861283,42.27878963,45.95472845,45.58164895,43.35223993,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252826,30.6839549,27.33873965,26.75455869,26.30121034,26.59256064,27.17915089,26.71213576,26.1936305,25.99083601,25.24343398,30.55773709,32.6450991,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,23.15784774,22.18057291,23.57947301,23.4032965
