Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.03637902,80.97530364,79.58825675,79.46595102,80.85538262,79.10095437,79.31425626,79.3684795,77.40822629,76.45936571,75.54876894,73.74569102,72.05155435,73.15274121,75.7712098,78.54344262,77.41952562,79.54291818,80.17837395,80.22255805,79.1331448,78.72681146,78.99427281,79.72907945,78.32755968,,,
Africa Eastern and Southern,AFE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,40.30778293,42.65244215,43.22117793,39.96594194,40.27594948,43.31880786,42.21376654,42.59235417,44.16007729,45.45729723,47.76660671,48.98296727,52.99957612,53.09069864,52.05920867,52.23041152,52.36756007,53.2148703,53.46416276,52.20834213,51.55448466,54.44744464,54.45651077,53.25472231,52.51167398,50.21041902,48.53298942,53.36990712,53.76193932,53.57022877,53.72134016,53.87815345,53.51658892,53.93360426,53.40603063,53.69407668,53.37181982,52.50707479,51.67698666,50.22536591,48.80298904
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1511546,37.44480384,41.11089534,39.00778718,39.83102433,40.29468522,45.40983087,45.24443493,48.87937691,49.6968204,50.57939792,52.68274347,52.99086504,53.2352935,59.02321641,58.32905001,59.47742291,55.47280674,54.68834226,46.50511366,
Africa Western and Central,AFW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,47.90881216,50.21539543,49.18005198,48.38794702,45.85625792,46.95209652,45.54935326,44.80260326,44.07779269,44.00116939,43.67085756,44.02027872,45.12732663,44.17994948,41.99481551,38.71209011,38.67634668,41.78257563,41.9595382,41.86213129,43.34147799,39.65636815,40.06479799,42.01078145,42.03233014,45.22414904,46.62148072,45.31902569,47.55644334,47.1710319,45.5821751,46.49185292,47.76548843,49.04924555,53.39671481,54.1604718,51.3933715,49.15473172,48.13209443,46.56508684,44.97173983,44.41480157
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.06161049,25.1524549,30.24024067,31.93152829,20.99237086,22.21235549,26.95981144,37.90757897,41.18298746,40.34747311,35.52672583,37.15684684,34.61187835,34.33820176,48.99067141,41.88702582,39.07583075,39.60494555,42.78491467,46.81392753,48.65988857,46.98099553,46.76262483,43.20690961,42.1232137,44.39559215,40.93217271,41.5760078
Albania,ALB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.77251996,42.31598073,43.99425228,46.83404194,44.3029615,44.94302058,43.77651541,41.91147612,42.58041689,43.55447838,43.5234063,44.63982401,44.69915127,45.31722054,44.02558797,44.25637233,44.954686,44.6069895,45.78239166,46.28444259,46.69716852,47.96955581,47.75562787,48.40730093,48.34772657,47.86323135,47.29261504
Andorra,AND,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.56099904,75.19393298,74.74635953,74.93703674,74.79423736,74.41988602,74.12427,74.55926199,75.36407506,76.0356014,76.99121165,77.3751352,76.82494913,78.02157585,78.24370911,78.66741433,78.10085369,77.86885863,77.6557919,77.55550982,79.81541549,79.3810032,78.13960784
Arab World,ARB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,32.13518346,33.98588782,36.77304952,39.84436108,36.59578732,33.03518441,36.41313647,44.37767053,48.66406887,49.08938478,48.90311077,50.95302964,48.30932204,51.30230177,50.91972416,41.45925491,49.17078263,43.35912662,44.92036417,46.88296081,47.41091168,45.37068672,45.96915295,48.90107764,46.49396128,42.1719669,44.29554422,45.34556566,44.19802863,42.98696615,39.7606651,38.06190896,39.15513251,37.04178281,44.75996061,43.25257871,39.68259045,40.65086581,42.51971247,45.06115448,52.82387874,54.80913675,52.73085232,48.95359379,50.47992043,55.05170272,48.36275238,42.76355382
United Arab Emirates,ARE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,25.4643047,27.64018907,31.53313694,31.31213264,28.09722444,26.84579121,31.08838617,36.20758156,37.86522074,36.34681418,37.82202662,46.66110251,44.1756695,45.78802715,43.730045,40.03922095,51.9239305,43.3233557,47.03917728,51.9091999,52.66775777,51.84056576,52.56756663,57.79557705,55.64609223,49.22033828,48.08545855,50.25092983,48.95130315,46.65629001,42.96086491,41.00264428,44.18310024,41.15471609,46.91815711,46.70571838,41.29247833,42.80399426,45.16301253,47.38157033,55.92208347,58.22056536,56.71020763,52.36957841,54.72877176,56.86206621,51.60249327,
Argentina,ARG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,38.68135829,40.11709274,42.63620116,43.24265853,43.42715421,48.0836525,43.17878672,43.43347582,44.69502835,46.17635963,43.27476829,40.954084,44.10665582,46.3979525,48.17559806,52.42683251,53.1862536,49.30099531,49.78536853,51.94583523,53.08953817,54.81916247,54.07696627,52.5355207,48.03609224,55.85444764,60.56119851,63.32521644,61.05689761,61.59079292,62.26377967,61.35099555,60.8492831,61.53968561,63.48773052,63.46931344,65.08125733,54.77644565,51.03169425,47.83698829,48.48614593,48.74913337,49.50833078,50.2551922,53.306001,51.49518021,51.81190075,53.65811792,53.91909367,52.94054347,55.81490128,56.12223585,57.34993738,56.36975027,55.43881711,55.29220377,52.50506675,53.02244929
